gene	locus tag	accession number (protein_id)	description	reference	source	class
gspA	b3323	NP_417782	Gsp T2SS-1, general secretion pathway	Escherichia coli K-12 MG1655 (NPEC)	manually	T2SS
gspC	b3324	NP_417783	Gsp T2SS-1, general secretion pathway	Escherichia coli K-12 MG1655 (NPEC)	manually	T2SS
gspD	b3325	NP_417784	Gsp T2SS-1, general secretion pathway	Escherichia coli K-12 MG1655 (NPEC)	manually	T2SS
gspE	b3326	NP_417785	Gsp T2SS-1, general secretion pathway	Escherichia coli K-12 MG1655 (NPEC)	manually	T2SS
gspF	b3327	NP_417786	Gsp T2SS-1, general secretion pathway	Escherichia coli K-12 MG1655 (NPEC)	manually	T2SS
gspG	b3328	NP_417787	Gsp T2SS-1, general secretion pathway	Escherichia coli K-12 MG1655 (NPEC)	manually	T2SS
gspH	b3329	NP_417788	Gsp T2SS-1, general secretion pathway	Escherichia coli K-12 MG1655 (NPEC)	manually	T2SS
gspI	b3330	NP_417789	Gsp T2SS-1, general secretion pathway	Escherichia coli K-12 MG1655 (NPEC)	manually	T2SS
gspJ	b3331	NP_417790	Gsp T2SS-1, general secretion pathway	Escherichia coli K-12 MG1655 (NPEC)	manually	T2SS
gspK	b3332	NP_417791	Gsp T2SS-1, general secretion pathway	Escherichia coli K-12 MG1655 (NPEC)	manually	T2SS
gspL	b3333	NP_417792	Gsp T2SS-1, general secretion pathway	Escherichia coli K-12 MG1655 (NPEC)	manually	T2SS
gspM	b3334	NP_417793	Gsp T2SS-1, general secretion pathway	Escherichia coli K-12 MG1655 (NPEC)	manually	T2SS
gspO	b3335	NP_417794	Gsp T2SS-1, general secretion pathway	Escherichia coli K-12 MG1655 (NPEC)	manually	T2SS
gspM	ECW_m3226	YP_006125842	Gsp T2SS-2, general secretion pathway	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	T2SS
gspL	ECW_m3227	YP_006125843	Gsp T2SS-2, general secretion pathway	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	T2SS
gspK	ECW_m3228	YP_006125844	Gsp T2SS-2, general secretion pathway	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	T2SS
gspJ	ECW_m3229	YP_006125845	Gsp T2SS-2, general secretion pathway	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	T2SS
gspI	ECW_m3230	YP_006125846	Gsp T2SS-2, general secretion pathway	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	T2SS
gspH	ECW_m3231	YP_006125847	Gsp T2SS-2, general secretion pathway	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	T2SS
gspG	ECW_m3232	YP_006125848	Gsp T2SS-2, general secretion pathway	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	T2SS
gspF	ECW_m3233	YP_006125849	Gsp T2SS-2, general secretion pathway	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	T2SS
gspE	ECW_m3234	YP_006125850	Gsp T2SS-2, general secretion pathway	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	T2SS
gspD	ECW_m3235	YP_006125851	Gsp T2SS-2, general secretion pathway	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	T2SS
gspC	ECW_m3236	YP_006125852	Gsp T2SS-2, general secretion pathway	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	T2SS
yghG	ECW_m3237	YP_006125853	Gsp T2SS-2, general secretion pathway	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	T2SS
pppA	ECW_m3238	YP_006125854	Gsp T2SS-2, general secretion pathway	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	T2SS
yghJ	ECW_m3239	YP_006125855	Gsp T2SS-2, general secretion pathway	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	T2SS
espG1	E2348C_3970		SSA-ESC (SPI-2), LEE encoded T3SS; LEE encoded T3SS effector	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
ler	E2348C_3968		SSA-ESC (SPI-2), LEE encoded T3SS; transcriptional regulator	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
	E2348C_3966		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
	E2348C_3967		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
	E2348C_3965		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
	E2348C_3964		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
escR	E2348C_3963		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
escS	E2348C_3962		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
	E2348C_3959		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
escU	E2348C_3960		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
escT	E2348C_3961		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
grlA	E2348C_3957		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
grlR	E2348C_3958		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
escV	E2348C_3949		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
mpc	E2348C_3950		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
espZ	E2348C_3951		SSA-ESC (SPI-2), LEE encoded T3SS; LEE encoded T3SS effector	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
orf8	E2348C_3952		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
escJ	E2348C_3953		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
sepD	E2348C_3954		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
escC	E2348C_3955		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
cesD	E2348C_3956		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
	E2348C_3947		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
escN	E2348C_3948		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
	E2348C_3946		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
sepQ	E2348C_3945		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
cesF	E2348C_3943		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
espH	E2348C_3944		SSA-ESC (SPI-2), LEE encoded T3SS; LEE encoded T3SS effector	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
map	E2348C_3942		SSA-ESC (SPI-2), LEE encoded T3SS; LEE encoded T3SS effector, mitochondrial-associated protein	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
tir	E2348C_3941		SSA-ESC (SPI-2), LEE encoded T3SS; translocated intimin receptor	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
cesT	E2348C_3940		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
escD	E2348C_3938		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
speL	E2348C_3937		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
espA	E2348C_3936		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
espD	E2348C_3935		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
espB	E2348C_3934		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
espF	E2348C_3930		SSA-ESC (SPI-2), LEE encoded T3SS; LEE encoded T3SS effector	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
	E2348C_3931		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
escF	E2348C_3932		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
cesD2	E2348C_3933		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
nleB1	E2348C_3231		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
nleE1	E2348C_3232		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
espL2	E2348C_3230		SSA-ESC (SPI-2), LEE encoded T3SS; LEE encoded T3SS effector	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
espG2	E2348C_2916		SSA-ESC (SPI-2), LEE encoded T3SS; LEE encoded T3SS effector	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
nleF	E2348C_1445		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
nleH2	E2348C_1444		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
nleA	E2348C_1442		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector, espI	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
nleE2	E2348C_1080		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
nleD	E2348C_1044		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
nleC	E2348C_1042		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
nleB2	E2348C_1041		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
espJ	E2348C_0723		SSA-ESC (SPI-2), LEE encoded T3SS; LEE encoded T3SS effector	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
nleG	E2348C_1040		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
nleH1	E2348C_0718		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	T3SS_TTSS
espX4	Z5636		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espX5	Z5665		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espX6	Z5935		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espL4	Z5608		SSA-ESC (SPI-2), LEE encoded T3SS; LEE encoded T3SS effector	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espY4	Z5211		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espG	Z5142		SSA-ESC (SPI-2), LEE encoded T3SS; LEE encoded T3SS effector	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
escE	Z5139		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
ler	Z5140		SSA-ESC (SPI-2), LEE encoded T3SS; transcriptional regulator	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
cesAB	Z5138		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
orf4	Z5137		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
escL	Z5136		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
escR	Z5135		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
escS	Z5134		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
escT	Z5133		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
etgA	Z5131		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
escU	Z5132		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
cesD	Z5127		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
grlA	Z5128		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
grlR	Z5129		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
sepD	Z5125		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
escC	Z5126		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
sepZ	Z5122		SSA-ESC (SPI-2), LEE encoded T3SS; LEE encoded T3SS effector, espZ	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
escI	Z5123		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
escJ	Z5124		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
orf12	Z5121		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
escV	Z5120		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
escN	Z5119		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
orf16	Z5117		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
orf15	Z5118		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
cesF	Z5114		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espH	Z5115		SSA-ESC (SPI-2), LEE encoded T3SS; LEE encoded T3SS effector	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
sepQ	Z5116		SSA-ESC (SPI-2), LEE encoded T3SS; escQ	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
map	Z5113		SSA-ESC (SPI-2), LEE encoded T3SS; LEE encoded T3SS effector, mitochondrial-associated protein	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
tir	Z5112		SSA-ESC (SPI-2), LEE encoded T3SS; translocated intimin receptor	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
cesT	Z5111		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
eae	Z5110		SSA-ESC (SPI-2), LEE encoded T3SS; LEE encoded T3SS effector, intimin adherence protein	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
escD	Z5109		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
sepL	Z5108		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espA	Z5107		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espD	Z5106		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espB	Z5105		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
orf29	Z5102		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
escF	Z5103		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
cesD2	Z5104		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
nleE	Z4329		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espF	Z5100		SSA-ESC (SPI-2), LEE encoded T3SS; LEE encoded T3SS effector	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
nleB1	Z4328		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espL2	Z4326		SSA-ESC (SPI-2), LEE encoded T3SS; LEE encoded T3SS effector	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espW	Z3920		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espM2	Z3918		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espR4	Z3026		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espJ	Z3071		SSA-ESC (SPI-2), LEE encoded T3SS; LEE encoded T3SS effector	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espFu	Z3072		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector, tccP (Tir cytoskeleton coupling protein)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espR3	Z3023		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espL1	Z2749		SSA-ESC (SPI-2), LEE encoded T3SS; LEE encoded T3SS effector	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
nleH2	Z6021		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
nleA	Z6024		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector, espI	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espM1	Z2565		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
nleF	Z6020		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
nleG7	Z2077		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espR1	Z2242		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espK	Z1829		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espN	Z1824		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espX7	Z1822		SSA-ESC (SPI-2), LEE encoded T3SS; nleL	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espX2	Z1019		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
nleD	Z0990		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
nleH1	Z0989		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
nleC	Z0986		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
nleB2	Z0985		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espY2	Z0078		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espY3	Z0521		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espY1	Z0065		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espX1	Z0025		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T3SS_TTSS
espO1-1	ECs1567		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 Sakai (EHEC)	VFDB R3	T3SS_TTSS
espO1-2	ECs1821		SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli O157:H7 Sakai (EHEC)	VFDB R3	T3SS_TTSS
cif		AAN07916	SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector, cell-cycle-inhibitory factor 	Escherichia coli O26 C/15333	VFDB R3	T3SS_TTSS
espT		CAX32470	SSA-ESC (SPI-2), LEE encoded T3SS	Escherichia coli Ont:H- FV11678	VFDB R3	T3SS_TTSS
efa1	ECO111_5002		SSA-ESC (SPI-2), LEE encoded T3SS; non-LEE encoded T3SS effector, EHEC factor for adherence/lymphocyte inhibitory factor (LifA)	Escherichia coli O111:H- 11128	VFDB R3	T3SS_TTSS
yqeH	EC042_3044	YP_006097339	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
yqeI	EC042_3045	YP_006097340	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
	EC042_3046	YP_006097341	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
	EC042_3047	YP_006097342	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
	EC042_3048	YP_006097343	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
ygeG	EC042_3049	YP_006097344	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
ygeH	EC042_3050	YP_006097345	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
	EC042_3051	YP_006097346	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
	EC042_3052	YP_006097347	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
ygeK	EC042_3053	YP_006097348	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
orgB	EC042_3054	YP_006097349	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
orgA	EC042_3055	YP_006097350	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
eprK	EC042_3056	YP_006097351	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
